EPOCH=001,Accuracy= 32.770%
EPOCH=002,Accuracy= 47.400%
EPOCH=003,Accuracy= 53.980%
EPOCH=004,Accuracy= 57.600%
EPOCH=005,Accuracy= 65.470%
EPOCH=006,Accuracy= 67.000%
EPOCH=007,Accuracy= 69.670%
EPOCH=008,Accuracy= 70.870%
EPOCH=009,Accuracy= 70.830%
EPOCH=010,Accuracy= 73.920%
EPOCH=011,Accuracy= 72.660%
EPOCH=012,Accuracy= 74.060%
EPOCH=013,Accuracy= 75.180%
EPOCH=014,Accuracy= 74.320%
EPOCH=015,Accuracy= 77.470%
EPOCH=016,Accuracy= 77.850%
EPOCH=017,Accuracy= 77.720%
EPOCH=018,Accuracy= 77.730%
EPOCH=019,Accuracy= 77.930%
EPOCH=020,Accuracy= 78.380%
EPOCH=021,Accuracy= 80.090%
EPOCH=022,Accuracy= 79.110%
EPOCH=023,Accuracy= 80.380%
EPOCH=024,Accuracy= 80.130%
EPOCH=025,Accuracy= 80.520%
EPOCH=026,Accuracy= 80.140%
EPOCH=027,Accuracy= 80.670%
EPOCH=028,Accuracy= 79.490%
EPOCH=029,Accuracy= 80.740%
EPOCH=030,Accuracy= 79.980%
EPOCH=031,Accuracy= 80.390%
EPOCH=032,Accuracy= 79.740%
EPOCH=033,Accuracy= 79.290%
EPOCH=034,Accuracy= 81.340%
EPOCH=035,Accuracy= 80.860%
EPOCH=036,Accuracy= 81.170%
EPOCH=037,Accuracy= 81.380%
EPOCH=038,Accuracy= 80.520%
EPOCH=039,Accuracy= 81.710%
EPOCH=040,Accuracy= 81.590%
EPOCH=041,Accuracy= 81.640%
EPOCH=042,Accuracy= 81.910%
EPOCH=043,Accuracy= 80.680%
EPOCH=044,Accuracy= 82.970%
EPOCH=045,Accuracy= 80.420%
EPOCH=046,Accuracy= 80.880%
EPOCH=047,Accuracy= 81.930%
EPOCH=048,Accuracy= 80.990%
EPOCH=049,Accuracy= 81.440%
EPOCH=050,Accuracy= 82.000%
EPOCH=051,Accuracy= 81.860%
EPOCH=052,Accuracy= 82.500%
EPOCH=053,Accuracy= 82.250%
EPOCH=054,Accuracy= 82.720%
EPOCH=055,Accuracy= 82.260%
EPOCH=056,Accuracy= 82.080%
EPOCH=057,Accuracy= 82.960%
EPOCH=058,Accuracy= 82.280%
EPOCH=059,Accuracy= 83.610%
EPOCH=060,Accuracy= 82.460%
EPOCH=061,Accuracy= 82.540%
EPOCH=062,Accuracy= 82.560%
EPOCH=063,Accuracy= 82.280%
EPOCH=064,Accuracy= 82.550%
EPOCH=065,Accuracy= 81.780%
EPOCH=066,Accuracy= 83.170%
EPOCH=067,Accuracy= 82.420%
EPOCH=068,Accuracy= 82.380%
EPOCH=069,Accuracy= 81.320%
EPOCH=070,Accuracy= 82.650%
