001  00001 |Loss: 2.312 | Acc: 7.812% 
001  00002 |Loss: 2.308 | Acc: 8.984% 
001  00003 |Loss: 2.304 | Acc: 10.938% 
001  00004 |Loss: 2.305 | Acc: 9.961% 
001  00005 |Loss: 2.305 | Acc: 10.000% 
001  00006 |Loss: 2.305 | Acc: 9.896% 
001  00007 |Loss: 2.305 | Acc: 9.933% 
001  00008 |Loss: 2.305 | Acc: 9.961% 
001  00009 |Loss: 2.304 | Acc: 10.069% 
001  00010 |Loss: 2.304 | Acc: 10.156% 
001  00011 |Loss: 2.303 | Acc: 10.440% 
001  00012 |Loss: 2.303 | Acc: 10.677% 
001  00013 |Loss: 2.303 | Acc: 10.577% 
001  00014 |Loss: 2.303 | Acc: 10.435% 
001  00015 |Loss: 2.303 | Acc: 10.104% 
001  00016 |Loss: 2.303 | Acc: 10.156% 
001  00017 |Loss: 2.303 | Acc: 10.340% 
001  00018 |Loss: 2.303 | Acc: 10.200% 
001  00019 |Loss: 2.303 | Acc: 10.074% 
001  00020 |Loss: 2.302 | Acc: 10.000% 
001  00021 |Loss: 2.303 | Acc: 10.045% 
001  00022 |Loss: 2.303 | Acc: 9.837% 
001  00023 |Loss: 2.303 | Acc: 9.986% 
001  00024 |Loss: 2.302 | Acc: 10.091% 
001  00025 |Loss: 2.302 | Acc: 10.219% 
001  00026 |Loss: 2.302 | Acc: 10.066% 
001  00027 |Loss: 2.302 | Acc: 9.925% 
001  00028 |Loss: 2.302 | Acc: 9.849% 
001  00029 |Loss: 2.302 | Acc: 9.995% 
001  00030 |Loss: 2.302 | Acc: 10.104% 
001  00031 |Loss: 2.302 | Acc: 10.055% 
001  00032 |Loss: 2.303 | Acc: 9.985% 
001  00033 |Loss: 2.303 | Acc: 10.038% 
001  00034 |Loss: 2.303 | Acc: 10.041% 
001  00035 |Loss: 2.303 | Acc: 10.000% 
001  00036 |Loss: 2.303 | Acc: 9.896% 
001  00037 |Loss: 2.303 | Acc: 9.924% 
001  00038 |Loss: 2.303 | Acc: 9.971% 
001  00039 |Loss: 2.303 | Acc: 9.976% 
001  00040 |Loss: 2.303 | Acc: 10.000% 
001  00041 |Loss: 2.303 | Acc: 9.966% 
001  00042 |Loss: 2.303 | Acc: 9.970% 
001  00043 |Loss: 2.303 | Acc: 10.156% 
001  00044 |Loss: 2.303 | Acc: 10.085% 
001  00045 |Loss: 2.303 | Acc: 10.122% 
001  00046 |Loss: 2.303 | Acc: 10.207% 
001  00047 |Loss: 2.303 | Acc: 10.206% 
001  00048 |Loss: 2.303 | Acc: 10.140% 
001  00049 |Loss: 2.303 | Acc: 10.300% 
001  00050 |Loss: 2.303 | Acc: 10.500% 
001  00051 |Loss: 2.302 | Acc: 10.524% 
001  00052 |Loss: 2.302 | Acc: 10.607% 
001  00053 |Loss: 2.302 | Acc: 10.687% 
001  00054 |Loss: 2.302 | Acc: 10.865% 
001  00055 |Loss: 2.302 | Acc: 10.838% 
001  00056 |Loss: 2.302 | Acc: 10.868% 
001  00057 |Loss: 2.302 | Acc: 10.814% 
001  00058 |Loss: 2.302 | Acc: 10.951% 
001  00059 |Loss: 2.302 | Acc: 10.938% 
001  00060 |Loss: 2.302 | Acc: 11.159% 
001  00061 |Loss: 2.302 | Acc: 11.130% 
001  00062 |Loss: 2.302 | Acc: 11.127% 
001  00063 |Loss: 2.302 | Acc: 11.198% 
001  00064 |Loss: 2.302 | Acc: 11.365% 
001  00065 |Loss: 2.301 | Acc: 11.502% 
001  00066 |Loss: 2.301 | Acc: 11.553% 
001  00067 |Loss: 2.301 | Acc: 11.614% 
001  00068 |Loss: 2.301 | Acc: 11.650% 
001  00069 |Loss: 2.301 | Acc: 11.753% 
001  00070 |Loss: 2.301 | Acc: 11.775% 
001  00071 |Loss: 2.301 | Acc: 11.884% 
